Research Domain,Measurement (Plain English),Variable Pattern,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
Chronic Health Conditions,Chronic Conditions Count (0-8),r*conde,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,"Self-Reported Health (1=Exc, 5=Poor)",r*shlt,"12,652","19,632","17,984","21,378","19,570","18,154","20,112","18,444","17,203","22,023","20,533","18,731","20,888","17,135","15,704","15,836"
Memory & Cognition,Immediate Word Recall (0-10),r*imtot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Memory & Cognition,Delayed Word Recall (0-10),r*dltot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Memory & Cognition,Serial 7s Subtraction (0-5),r*ser7,-,"7,382","16,351","19,341","17,516","16,129","18,327","17,209","16,077","20,652","19,407","17,698","19,971",-,-,-
Memory & Cognition,Backwards Count 20 (0/1),r*bwc20,-,"7,382","16,351","19,341","17,516","16,129","18,327","17,209","16,077","20,652","19,407","17,698","19,971",-,-,-
Memory & Cognition,Composite Cognitive Score (0-35),r*cogtot,-,-,"16,351","12,330","9,503","9,611","13,083","10,517","10,518","16,031","10,250","9,692","13,700",-,-,-
Memory & Cognition,27-Point Cognitive Battery (0-27),r*cogtot27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mental Health & Behaviors,CES-D Depression Score (0-8),r*cesd,-,"18,066","16,347","19,329","17,508","16,125","18,283","17,198","16,075","20,647","19,400","17,696","19,965","16,479","14,998","15,263"
Mental Health & Behaviors,Ever Smoked Cigarettes,r*smokev,"12,652","19,571","17,731","21,175","19,389","17,986","19,961","18,313","17,072","21,904","20,439","18,642","20,824","17,084","15,670","15,810"
Mental Health & Behaviors,Currently Smokes Cigarettes,r*smoken,"12,652","19,635","17,640","21,381","19,576","18,164","19,952","18,309","17,070","21,901","20,436","18,638","20,818","17,075","15,551","13,450"
Mental Health & Behaviors,Alcohol Drinking Days/Week,r*drinkd,-,-,"17,925","21,379","19,560","18,129","20,090","18,438","17,198","21,986","20,496","18,657","20,835","17,097","15,643","15,693"
Mental Health & Behaviors,Vigorous Physical Activity,r*vigact,"12,652","11,082","17,982","21,373","19,572","18,158",-,-,-,-,-,-,-,-,-,-
Daily Living & Independence,Difficulty Walking Several Blocks,r*walkr,"12,652","19,286","11,609","10,332","9,718","9,573","10,282","9,845","9,228","11,082","10,307","9,693","10,282","8,422","7,371","7,746"
Daily Living & Independence,Difficulty Dressing Self (ADL),r*dressa,-,"19,628","17,950","21,352","19,550","18,152","20,114","18,453","17,204","21,896","20,523","18,721","20,867","17,112","15,636","15,765"
Daily Living & Independence,Difficulty Bathing Self (ADL),r*bathea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daily Living & Independence,Difficulty Eating (ADL),r*eata,-,"19,635","17,949","21,345","19,547","18,144","20,098","18,445","17,197","21,880","20,519","18,712","20,861","17,112","15,628","15,769"
Daily Living & Independence,Difficulty Getting Out of Bed (ADL),r*beda,-,"19,621","17,945","21,344","19,546","18,137","20,104","18,445","17,193","21,882","20,510","18,706","20,850","17,107","15,630","15,761"
Daily Living & Independence,Impaired ADL Count (0-5),r*adl5a,-,"19,641","17,953","21,356","19,554","18,158","20,119","18,460","17,208","21,901","20,535","18,730","20,876","17,120","15,648","15,786"
Daily Living & Independence,Impaired IADL Count (0-5),r*iadl5a,-,"8,221","17,951","21,353","19,552","18,158","20,116","18,460","17,207","21,895","20,536","18,730","20,874","17,114","15,646","15,787"
Daily Living & Independence,Body Mass Index (BMI),r*bmi,"12,652","19,434","17,773","21,099","19,289","17,818","19,750","18,175","16,983","21,602","20,244","18,442","20,578","16,903","15,497","15,573"
Socioeconomics & Family,Marital Status,r*mstat,"12,652","19,642","17,928","21,360","19,558","18,150","20,114","18,467","17,215","22,028","20,538","18,728","20,880","17,120","15,685","15,816"
Socioeconomics & Family,Number of Living Children,h*child,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Socioeconomics & Family,Household Resident Count,h*hhres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Socioeconomics & Family,Labor Force Status,r*lbrf,"12,652","16,488","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Socioeconomics & Family,Total Household Annual Income ($),h*itot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Socioeconomics & Family,Total Household Net Wealth ($),h*atotb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Population Weights,Respondent Sampling Weight,r*wtresp,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","13,128"
Population Weights,Combined Nursing Home Weight,r*wtcrnh,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","13,128"
Population Weights,Household Analysis Weight,h*weight,"12,652","19,464","17,798","21,133","19,315","17,849","19,809","18,189","16,998","21,742","20,348","18,515","20,686","16,969","15,547","15,658"
